steer_sw,dist,speed_kmh,success
65,2,50,0
70,2,50,0
75,2,50,0
80,2,50,0
85,2,50,0
90,2,50,0
5,2,60,0
10,2,60,0
15,2,60,1
20,2,60,1
25,2,60,1
30,2,60,0
35,2,60,0
40,2,60,0
45,2,60,0
50,2,60,0
55,2,60,0
60,2,60,0
65,2,60,0
70,2,60,0
75,2,60,0
80,2,60,0
85,2,60,0
90,2,60,0
5,2,70,0
10,2,70,0
15,2,70,1
20,2,70,1
25,2,70,0
30,2,70,0
35,2,70,0
40,2,70,0
45,2,70,0
50,2,70,0
55,2,70,0
60,2,70,0
65,2,70,0
70,2,70,0
75,2,70,0
80,2,70,0
85,2,70,0
90,2,70,0
5,2,80,0
10,2,80,0
15,2,80,1
20,2,80,1
25,2,80,0
30,2,80,0
35,2,80,0
40,2,80,0
45,2,80,0
50,2,80,0
55,2,80,0
60,2,80,0
65,2,80,0
70,2,80,0
75,2,80,0
80,2,80,0
85,2,80,0
90,2,80,0
5,2,90,0
10,2,90,1
15,2,90,1
20,2,90,1
25,2,90,0
30,2,90,0
35,2,90,0
40,2,90,0
45,2,90,0
50,2,90,0
55,2,90,0
60,2,90,0
65,2,90,0
70,2,90,0
75,2,90,0
80,2,90,0
85,2,90,0
90,2,90,0
5,2,100,0
10,2,100,1
15,2,100,1
20,2,100,1
25,2,100,0
30,2,100,0
35,2,100,0
40,2,100,0
45,2,100,0
50,2,100,0
55,2,100,0
60,2,100,0
65,2,100,0
70,2,100,0
75,2,100,0
80,2,100,0
85,2,100,0
90,2,100,0
5,2,110,0
10,2,110,1
15,2,110,1
20,2,110,1
25,2,110,0
30,2,110,0
35,2,110,0
40,2,110,0
45,2,110,0
50,2,110,0
55,2,110,0
60,2,110,0
65,2,110,0
70,2,110,0
75,2,110,0
80,2,110,0
85,2,110,0
90,2,110,0
5,2,120,0
10,2,120,1
15,2,120,1
20,2,120,0
25,2,120,0
30,2,120,0
35,2,120,0
40,2,120,0
45,2,120,0
50,2,120,0
55,2,120,0
60,2,120,0
65,2,120,0
70,2,120,0
75,2,120,0
80,2,120,0
85,2,120,0
90,2,120,0
5,3,10,0
10,3,10,0
15,3,10,0
20,3,10,0
25,3,10,0
30,3,10,0
35,3,10,0
40,3,10,0
45,3,10,0
50,3,10,0
55,3,10,0
60,3,10,0
65,3,10,0
70,3,10,0
75,3,10,0
80,3,10,0
85,3,10,0
90,3,10,0
5,3,20,0
10,3,20,0
15,3,20,0
20,3,20,0
25,3,20,0
30,3,20,0
35,3,20,0
40,3,20,0
45,3,20,0
50,3,20,0
55,3,20,0
60,3,20,0
65,3,20,0
70,3,20,0
75,3,20,0
80,3,20,0
85,3,20,0
90,3,20,0
5,3,30,0
10,3,30,0
15,3,30,0
20,3,30,0
25,3,30,0
30,3,30,0
35,3,30,0
40,3,30,0
45,3,30,0
50,3,30,0
55,3,30,0
60,3,30,0
65,3,30,0
70,3,30,0
75,3,30,0
80,3,30,0
85,3,30,0
90,3,30,0
5,3,40,0
10,3,40,0
15,3,40,0
20,3,40,1
25,3,40,1
30,3,40,0
35,3,40,0
40,3,40,0
45,3,40,0
50,3,40,0
55,3,40,0
60,3,40,0
65,3,40,0
70,3,40,0
75,3,40,0
80,3,40,0
85,3,40,0
90,3,40,0
5,3,50,0
10,3,50,0
15,3,50,0
20,3,50,1
25,3,50,1
30,3,50,0
35,3,50,0
40,3,50,0
45,3,50,0
50,3,50,0
55,3,50,0
60,3,50,0
65,3,50,0
70,3,50,0
75,3,50,0
80,3,50,0
85,3,50,0
90,3,50,0
5,3,60,0
10,3,60,0
15,3,60,1
20,3,60,1
25,3,60,1
30,3,60,0
35,3,60,0
40,3,60,0
45,3,60,0
50,3,60,0
55,3,60,0
60,3,60,0
65,3,60,0
70,3,60,0
75,3,60,0
80,3,60,0
85,3,60,0
90,3,60,0
5,3,70,0
10,3,70,0
15,3,70,1
20,3,70,1
25,3,70,0
30,3,70,0
35,3,70,0
40,3,70,0
45,3,70,0
50,3,70,0
55,3,70,0
60,3,70,0
65,3,70,0
70,3,70,0
75,3,70,0
80,3,70,0
85,3,70,0
90,3,70,0
5,3,80,0
10,3,80,0
15,3,80,1
20,3,80,1
25,3,80,0
30,3,80,0
35,3,80,0
40,3,80,0
45,3,80,0
50,3,80,0
55,3,80,0
60,3,80,0
65,3,80,0
70,3,80,0
75,3,80,0
80,3,80,0
85,3,80,0
90,3,80,0
5,3,90,0
10,3,90,1
15,3,90,1
20,3,90,1
25,3,90,0
30,3,90,0
35,3,90,0
40,3,90,0
45,3,90,0
50,3,90,0
55,3,90,0
