speed_kmh,steer_deg_sw,steer_deg_wheel,straight_dist_m,avoidance_success,outcome,min_clearance_m,max_lat_dev_m,lat_at_obstacle_m,pd_start_dist_m,lane_start_dist_m,total_dist_m
10,-90,-6.0,5,0,CLIFF_EVADE,37.259,7.535,-7.535,N/A,N/A,24.6
10,-85,-5.67,5,0,CLIFF_EVADE,36.688,7.51,-7.51,N/A,N/A,25.1
10,-80,-5.33,5,0,CLIFF_EVADE,36.034,7.528,-7.528,N/A,N/A,25.7
10,-75,-5.0,5,0,CLIFF_EVADE,35.354,7.506,-7.506,N/A,N/A,26.3
10,-70,-4.67,5,0,CLIFF_EVADE,34.582,7.513,-7.513,N/A,N/A,27.0
10,-65,-4.33,5,0,CLIFF_EVADE,33.744,7.502,-7.502,N/A,N/A,27.8
10,-60,-4.0,5,0,CLIFF_EVADE,32.801,7.5,-7.5,N/A,N/A,28.7
10,-55,-3.67,5,0,CLIFF_EVADE,31.709,7.525,-7.525,N/A,N/A,29.7
10,-50,-3.33,5,0,CLIFF_EVADE,30.494,7.526,-7.526,N/A,N/A,30.9
10,-45,-3.0,5,0,CLIFF_EVADE,29.11,7.514,-7.514,N/A,N/A,32.2
10,-40,-2.67,5,0,CLIFF_EVADE,27.464,7.517,-7.517,N/A,N/A,33.8
10,-35,-2.33,5,0,CLIFF_PD_RETURN,25.318,7.516,-7.516,35.1,N/A,35.9
10,-30,-2.0,5,0,COLLISION_LANE_RETURN,-0.027,6.697,-0.939,35.1,40.4,61.1
10,-25,-1.67,5,0,COLLISION_LANE_RETURN,-0.047,5.574,-0.77,35.1,40.1,60.5
10,-20,-1.33,5,0,COLLISION_LANE_RETURN,-0.012,4.458,-0.603,35.1,39.8,59.9
10,-15,-1.0,5,0,COLLISION_LANE_RETURN,-0.028,3.35,-0.439,35.1,39.4,59.6
10,-10,-0.67,5,0,COLLISION_LANE_RETURN,-0.043,2.237,-0.282,35.1,39.0,59.3
10,-5,-0.33,5,0,COLLISION_LANE_RETURN,-0.053,1.118,-0.131,35.1,38.3,59.1
10,0,0.0,5,0,COLLISION_LANE_RETURN,-0.0,0.0,0.0,35.1,35.1,59.0
10,5,0.33,5,0,COLLISION_LANE_RETURN,-0.053,1.118,0.131,35.1,38.3,59.1
10,10,0.67,5,0,COLLISION_LANE_RETURN,-0.043,2.237,0.282,35.1,39.0,59.3
10,15,1.0,5,0,COLLISION_LANE_RETURN,-0.028,3.35,0.439,35.1,39.4,59.6
10,20,1.33,5,0,COLLISION_LANE_RETURN,-0.012,4.458,0.603,35.1,39.8,59.9
10,25,1.67,5,0,COLLISION_LANE_RETURN,-0.047,5.574,0.77,35.1,40.1,60.5
10,30,2.0,5,0,COLLISION_LANE_RETURN,-0.027,6.697,0.939,35.1,40.4,61.1
10,35,2.33,5,0,CLIFF_PD_RETURN,25.318,7.516,7.516,35.1,N/A,35.9
10,40,2.67,5,0,CLIFF_EVADE,27.464,7.517,7.517,N/A,N/A,33.8
10,45,3.0,5,0,CLIFF_EVADE,29.11,7.514,7.514,N/A,N/A,32.2
10,50,3.33,5,0,CLIFF_EVADE,30.494,7.526,7.526,N/A,N/A,30.9
10,55,3.67,5,0,CLIFF_EVADE,31.709,7.525,7.525,N/A,N/A,29.7
10,60,4.0,5,0,CLIFF_EVADE,32.801,7.5,7.5,N/A,N/A,28.7
10,65,4.33,5,0,CLIFF_EVADE,33.744,7.502,7.502,N/A,N/A,27.8
10,70,4.67,5,0,CLIFF_EVADE,34.582,7.513,7.513,N/A,N/A,27.0
10,75,5.0,5,0,CLIFF_EVADE,35.354,7.506,7.506,N/A,N/A,26.3
10,80,5.33,5,0,CLIFF_EVADE,36.034,7.528,7.528,N/A,N/A,25.7
10,85,5.67,5,0,CLIFF_EVADE,36.688,7.51,7.51,N/A,N/A,25.1
10,90,6.0,5,0,CLIFF_EVADE,37.259,7.535,7.535,N/A,N/A,24.6
10,-90,-6.0,10,0,CLIFF_EVADE,32.36,7.535,-7.535,N/A,N/A,29.6
10,-85,-5.67,10,0,CLIFF_EVADE,31.792,7.51,-7.51,N/A,N/A,30.1
10,-80,-5.33,10,0,CLIFF_EVADE,31.141,7.528,-7.528,N/A,N/A,30.7
10,-75,-5.0,10,0,CLIFF_EVADE,30.465,7.506,-7.506,N/A,N/A,31.3
10,-70,-4.67,10,0,CLIFF_EVADE,29.698,7.513,-7.513,N/A,N/A,32.0
10,-65,-4.33,10,0,CLIFF_EVADE,28.866,7.502,-7.502,N/A,N/A,32.8
10,-60,-4.0,10,0,CLIFF_EVADE,27.93,7.5,-7.5,N/A,N/A,33.7
10,-55,-3.67,10,0,CLIFF_EVADE,26.848,7.525,-7.525,N/A,N/A,34.7
10,-50,-3.33,10,0,CLIFF_EVADE,25.644,7.526,-7.526,N/A,N/A,35.9
10,-45,-3.0,10,0,CLIFF_EVADE,24.274,7.514,-7.514,N/A,N/A,37.2
10,-40,-2.67,10,0,CLIFF_EVADE,22.648,7.517,-7.517,N/A,N/A,38.8
10,-35,-2.33,10,0,CLIFF_PD_RETURN,20.535,7.516,-7.516,40.1,N/A,40.9
10,-30,-2.0,10,0,COLLISION_LANE_RETURN,-0.049,6.697,-1.57,40.1,45.4,61.4
10,-25,-1.67,10,0,COLLISION_LANE_RETURN,-0.043,5.574,-1.305,40.1,45.1,60.7
10,-20,-1.33,10,0,COLLISION_LANE_RETURN,-0.02,4.458,-1.03,40.1,44.8,60.1
10,-15,-1.0,10,0,COLLISION_LANE_RETURN,-0.029,3.35,-0.756,40.1,44.4,59.6
10,-10,-0.67,10,0,COLLISION_LANE_RETURN,-0.021,2.237,-0.488,40.1,44.0,59.3
10,-5,-0.33,10,0,COLLISION_LANE_RETURN,-0.048,1.118,-0.228,40.1,43.3,59.1
10,0,0.0,10,0,COLLISION_LANE_RETURN,-0.0,0.0,0.0,40.1,40.1,59.0
10,5,0.33,10,0,COLLISION_LANE_RETURN,-0.048,1.118,0.228,40.1,43.3,59.1
10,10,0.67,10,0,COLLISION_LANE_RETURN,-0.021,2.237,0.488,40.1,44.0,59.3
10,15,1.0,10,0,COLLISION_LANE_RETURN,-0.029,3.35,0.756,40.1,44.4,59.6
10,20,1.33,10,0,COLLISION_LANE_RETURN,-0.02,4.458,1.03,40.1,44.8,60.1
10,25,1.67,10,0,COLLISION_LANE_RETURN,-0.043,5.574,1.305,40.1,45.1,60.7
10,30,2.0,10,0,COLLISION_LANE_RETURN,-0.049,6.697,1.57,40.1,45.4,61.4
10,35,2.33,10,0,CLIFF_PD_RETURN,20.535,7.516,7.516,40.1,N/A,40.9
10,40,2.67,10,0,CLIFF_EVADE,22.648,7.517,7.517,N/A,N/A,38.8
10,45,3.0,10,0,CLIFF_EVADE,24.274,7.514,7.514,N/A,N/A,37.2
10,50,3.33,10,0,CLIFF_EVADE,25.644,7.526,7.526,N/A,N/A,35.9
10,55,3.67,10,0,CLIFF_EVADE,26.848,7.525,7.525,N/A,N/A,34.7
10,60,4.0,10,0,CLIFF_EVADE,27.93,7.5,7.5,N/A,N/A,33.7
10,65,4.33,10,0,CLIFF_EVADE,28.866,7.502,7.502,N/A,N/A,32.8
10,70,4.67,10,0,CLIFF_EVADE,29.698,7.513,7.513,N/A,N/A,32.0
10,75,5.0,10,0,CLIFF_EVADE,30.465,7.506,7.506,N/A,N/A,31.3
